timestamps,Var6
28/08/2021 23:00:00,16.917
28/08/2021 23:15:00,16.572
28/08/2021 23:30:00,16.396
28/08/2021 23:45:00,15.915
29/08/2021 00:00:00,16.184
29/08/2021 00:15:00,16.183
29/08/2021 00:30:00,16.14
29/08/2021 00:45:00,16.595
29/08/2021 01:00:00,16.804
29/08/2021 01:15:00,15.858
29/08/2021 01:30:00,15.758
29/08/2021 01:45:00,15.73
29/08/2021 02:00:00,15.619
29/08/2021 02:15:00,15.584
29/08/2021 02:30:00,15.303
29/08/2021 02:45:00,14.753
29/08/2021 03:00:00,14.393
29/08/2021 03:15:00,14.411
29/08/2021 03:30:00,13.883
29/08/2021 03:45:00,13.654
29/08/2021 04:00:00,13.293
29/08/2021 04:15:00,13.145
29/08/2021 04:30:00,12.847
29/08/2021 04:45:00,12.678
29/08/2021 05:00:00,12.642
29/08/2021 05:15:00,12.456
29/08/2021 05:30:00,11.983
29/08/2021 05:45:00,12.04
29/08/2021 06:00:00,11.872
29/08/2021 06:15:00,12.221
29/08/2021 06:30:00,12.714
29/08/2021 06:45:00,12.609
29/08/2021 07:00:00,12.739
29/08/2021 07:15:00,14.165
29/08/2021 07:30:00,14.164
29/08/2021 07:45:00,13.727
29/08/2021 08:00:00,16.762
29/08/2021 08:15:00,18.313
29/08/2021 08:30:00,20.735
29/08/2021 08:45:00,24.437
29/08/2021 09:00:00,26.228
29/08/2021 09:15:00,26.368
29/08/2021 09:30:00,27.805
29/08/2021 09:45:00,28.993
29/08/2021 10:00:00,29.29
29/08/2021 10:15:00,31.476
29/08/2021 10:30:00,25.392
29/08/2021 10:45:00,30.599
29/08/2021 11:00:00,26.182
29/08/2021 11:15:00,29.258
29/08/2021 11:30:00,26.91
29/08/2021 11:45:00,27.155
29/08/2021 12:00:00,26.715
29/08/2021 12:15:00,25.848
29/08/2021 12:30:00,25.641
29/08/2021 12:45:00,28.757
29/08/2021 13:00:00,29.107
29/08/2021 13:15:00,27.414
29/08/2021 13:30:00,26.477
29/08/2021 13:45:00,27.08
29/08/2021 14:00:00,27.491
29/08/2021 14:15:00,27.829
29/08/2021 14:30:00,27.975
29/08/2021 14:45:00,26.307
29/08/2021 15:00:00,26.567
29/08/2021 15:15:00,27.565
29/08/2021 15:30:00,27.502
29/08/2021 15:45:00,27.222
29/08/2021 16:00:00,28.147
29/08/2021 16:15:00,27.063
29/08/2021 16:30:00,27.25
29/08/2021 16:45:00,27.206
29/08/2021 17:00:00,27.364
29/08/2021 17:15:00,27.097
29/08/2021 17:30:00,26.624
29/08/2021 17:45:00,24.744
29/08/2021 18:00:00,25.504
29/08/2021 18:15:00,24.567
29/08/2021 18:30:00,24.335
29/08/2021 18:45:00,23.8
29/08/2021 19:00:00,23.563
29/08/2021 19:15:00,22.919
29/08/2021 19:30:00,21.842
29/08/2021 19:45:00,20.619
29/08/2021 20:00:00,19.45
29/08/2021 20:15:00,18.918
29/08/2021 20:30:00,18.71
29/08/2021 20:45:00,18.192
29/08/2021 21:00:00,17.897
29/08/2021 21:15:00,17.367
29/08/2021 21:30:00,17.28
29/08/2021 21:45:00,17.388
29/08/2021 22:00:00,17.391
29/08/2021 22:15:00,18.157
29/08/2021 22:30:00,18.28
29/08/2021 22:45:00,17.561
29/08/2021 23:00:00,17.164
29/08/2021 23:15:00,16.97
29/08/2021 23:30:00,17.247
29/08/2021 23:45:00,17.466
30/08/2021 00:00:00,17.366
30/08/2021 00:15:00,16.893
30/08/2021 00:30:00,16.969
30/08/2021 00:45:00,16.665
30/08/2021 01:00:00,16.859
30/08/2021 01:15:00,16.927
30/08/2021 01:30:00,16.976
30/08/2021 01:45:00,16.976
30/08/2021 02:00:00,17.222
30/08/2021 02:15:00,17.144
30/08/2021 02:30:00,17.003
30/08/2021 02:45:00,16.933
30/08/2021 03:00:00,16.713
30/08/2021 03:15:00,16.32
30/08/2021 03:30:00,15.517
30/08/2021 03:45:00,15.417
30/08/2021 04:00:00,15.451
30/08/2021 04:15:00,15.039
30/08/2021 04:30:00,14.822
30/08/2021 04:45:00,14.396
30/08/2021 05:00:00,14.081
30/08/2021 05:15:00,14.062
30/08/2021 05:30:00,13.711
30/08/2021 05:45:00,13.446
30/08/2021 06:00:00,13.096
30/08/2021 06:15:00,12.751
30/08/2021 06:30:00,12.781
30/08/2021 06:45:00,12.739
30/08/2021 07:00:00,13.06
30/08/2021 07:15:00,14.063
30/08/2021 07:30:00,14.912
30/08/2021 07:45:00,16.287
30/08/2021 08:00:00,17.894
30/08/2021 08:15:00,19.618
30/08/2021 08:30:00,22.292
30/08/2021 08:45:00,25.434
30/08/2021 09:00:00,27.195
30/08/2021 09:15:00,28.41
30/08/2021 09:30:00,28.62
30/08/2021 09:45:00,30.418
30/08/2021 10:00:00,25.371
30/08/2021 10:15:00,27.273
30/08/2021 10:30:00,28.253
30/08/2021 10:45:00,30.213
30/08/2021 11:00:00,32.24
30/08/2021 11:15:00,29.825
30/08/2021 11:30:00,30.329
30/08/2021 11:45:00,30.503
30/08/2021 12:00:00,29.679
30/08/2021 12:15:00,26.349
30/08/2021 12:30:00,30.301
30/08/2021 12:45:00,30.257
30/08/2021 13:00:00,29.898
30/08/2021 13:15:00,28.802
30/08/2021 13:30:00,29.073
30/08/2021 13:45:00,29.574
30/08/2021 14:00:00,28.614
30/08/2021 14:15:00,27.788
30/08/2021 14:30:00,28.292
30/08/2021 14:45:00,27.017
30/08/2021 15:00:00,28.49
30/08/2021 15:15:00,29.753
30/08/2021 15:30:00,28.745
30/08/2021 15:45:00,28.872
30/08/2021 16:00:00,28.911
30/08/2021 16:15:00,28.593
30/08/2021 16:30:00,28.493
30/08/2021 16:45:00,28.979
30/08/2021 17:00:00,27.79
30/08/2021 17:15:00,28.323
30/08/2021 17:30:00,28.261
30/08/2021 17:45:00,28.038
30/08/2021 18:00:00,25.823
30/08/2021 18:15:00,25.507
30/08/2021 18:30:00,26.023
30/08/2021 18:45:00,25.287
30/08/2021 19:00:00,24.177
30/08/2021 19:15:00,22.429
30/08/2021 19:30:00,20.713
30/08/2021 19:45:00,19.676
30/08/2021 20:00:00,18.992
30/08/2021 20:15:00,18.611
30/08/2021 20:30:00,18.481
30/08/2021 20:45:00,18.536
30/08/2021 21:00:00,18.384
30/08/2021 21:15:00,18.124
30/08/2021 21:30:00,18.008
30/08/2021 21:45:00,17.953
30/08/2021 22:00:00,17.849
30/08/2021 22:15:00,17.657
30/08/2021 22:30:00,17.491
30/08/2021 22:45:00,17.33
30/08/2021 23:00:00,17.497
30/08/2021 23:15:00,17.409
30/08/2021 23:30:00,17.174
30/08/2021 23:45:00,16.561
31/08/2021 00:00:00,16.673
31/08/2021 00:15:00,15.992
31/08/2021 00:30:00,16.001
31/08/2021 00:45:00,16.082
31/08/2021 01:00:00,16.18
31/08/2021 01:15:00,15.631
31/08/2021 01:30:00,15.448
31/08/2021 01:45:00,16.044
31/08/2021 02:00:00,16.023
31/08/2021 02:15:00,15.585
31/08/2021 02:30:00,15.263
31/08/2021 02:45:00,14.927
31/08/2021 03:00:00,14.714
31/08/2021 03:15:00,14.702
31/08/2021 03:30:00,14.806
31/08/2021 03:45:00,15.236
31/08/2021 04:00:00,15.446
31/08/2021 04:15:00,15.406
31/08/2021 04:30:00,15.311
31/08/2021 04:45:00,15.22
31/08/2021 05:00:00,14.912
31/08/2021 05:15:00,15.152
31/08/2021 05:30:00,15.606
31/08/2021 05:45:00,15.193
31/08/2021 06:00:00,14.689
31/08/2021 06:15:00,14.451
31/08/2021 06:30:00,14.041
31/08/2021 06:45:00,14.165
31/08/2021 07:00:00,14.691
31/08/2021 07:15:00,15.731
31/08/2021 07:30:00,16.912
31/08/2021 07:45:00,18.714
31/08/2021 08:00:00,19.303
31/08/2021 08:15:00,19.973
31/08/2021 08:30:00,21.909
31/08/2021 08:45:00,20.929
31/08/2021 09:00:00,20.068
31/08/2021 09:15:00,19.677
31/08/2021 09:30:00,20.635
